Customer_Key,Membership_Type,Baseline_HSIC_SoW,Recent_HSIC_SoW,SoW_Change_pp,SoW_Decline_pp,Recent_Total_Net_Sales,Recent_HSIC_Net_Sales,Recent_Non_HSIC_Net_Sales,Recent_Transaction_Count,Recent_HSIC_Transaction_Rows,HSIC_Recency_Days,Primary_Leakage_Method,Primary_Leakage_Spend,Top_Category,Top_Category_Spend,Silent_Attrition_Flag,HSIC_Dormant_Flag,High_Value_Low_SoW_Flag,Recoverable_Wallet,Opportunity_Score,Opportunity_Tier,Business_Segment,Strategic_Priority,Campaign_Segment,Recommended_Strategy
HSIC-00001,Non-Prime,19.55287130034369,0.0,-19.55287130034369,19.55287130034369,3255.3199999999997,0.0,3255.3199999999997,8.0,0.0,304.0,Cash/UPI,4985.91,Apparel,4985.91,0,1,0,3255.3199999999997,47.92456733089706,Medium,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00002,Prime,0.0,61.137204059781546,61.137204059781546,-61.137204059781546,2923.31,1787.23,1136.08,18.0,1.0,90.0,Other Bank Credit Card,1136.08,Apparel,1787.23,0,0,0,1136.08,22.005791905123075,Low,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-00003,Non-Prime,0.0,43.52621335228151,43.52621335228151,-43.52621335228151,4531.66,1972.46,2559.2,16.0,1.0,40.0,Other Bank Credit Card,2559.2,Furniture,2559.2,0,0,0,2559.2,29.7514307384679,Low,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00004,Prime,0.0,0.0,0.0,0.0,23189.74,0.0,23189.74,72.0,0.0,999.0,MetroMart Wallet,20474.31,Large Appliances,9999.99,0,0,1,23189.74,76.6186306281459,Critical,Wallet Migrators,Win Back,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-00005,Prime,19.17658749701773,0.0,-19.17658749701773,19.17658749701773,4186.29,0.0,4186.29,26.0,0.0,274.0,Cash/UPI,4186.29,Furniture,3118.94,0,1,0,4186.29,51.70137212990416,High,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00006,Prime,40.67790620611667,0.0,-40.67790620611667,40.67790620611667,12371.88,0.0,12371.88,60.0,0.0,338.0,Other Bank Credit Card,6011.43,Travel,5241.83,1,1,1,12371.88,80.60539198786458,Critical,Wallet Migrators,Win Back,High-Value Dormant,High-priority personalized win-back campaign with a limited-time HSIC reactivation incentive.
HSIC-00007,Prime,0.0,29.084088209746323,29.084088209746323,-29.084088209746323,4512.88,1312.53,3200.3500000000004,56.0,1.0,29.0,MetroMart Wallet,1533.41,Grocery,1533.41,0,0,0,3200.3500000000004,31.873060746052538,Low,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00008,Prime,0.0,0.0,0.0,0.0,8454.62,0.0,8454.62,6.0,0.0,999.0,MetroMart Wallet,8454.62,Large Appliances,8454.62,0,0,0,8454.62,57.727711507963875,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00009,Prime,0.0,0.0,0.0,0.0,817.62,0.0,817.62,7.0,0.0,999.0,Cash/UPI,817.62,Beauty,817.62,0,0,0,817.62,23.47376404881749,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00010,Prime,0.0,81.16295033325214,81.16295033325214,-81.16295033325214,3161.2700000000004,2565.78,595.49,20.0,1.0,50.0,Debit Card,595.49,Kids And Toys,2565.78,0,0,0,595.49,18.343446183548227,Low,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-00011,Non-Prime,0.0,0.0,0.0,0.0,9372.39,0.0,9372.39,18.0,0.0,999.0,Other Bank Credit Card,8745.76,Electronics,8745.76,0,0,0,9372.39,60.21926497965938,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00012,Non-Prime,0.0,0.0,0.0,0.0,18825.36,0.0,18825.36,68.0,0.0,999.0,MetroMart Wallet,15716.27,Large Appliances,9155.71,0,0,1,18825.36,74.95449217403295,Critical,Wallet Migrators,Win Back,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-00013,Prime,0.0,0.0,0.0,0.0,5258.97,0.0,5258.97,30.0,0.0,999.0,MetroMart Wallet,2636.59,Electronics,4189.98,0,0,0,5258.97,46.92167137833552,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00014,Non-Prime,0.0,46.046224832367585,46.046224832367585,-46.046224832367585,10979.38,5055.59,5923.79,27.0,1.0,106.0,Debit Card,4156.07,Electronics,5055.59,0,0,0,5923.79,47.483624077777016,Medium,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00015,Non-Prime,28.15775743943248,0.0,-28.15775743943248,28.15775743943248,4223.32,0.0,4223.32,30.0,0.0,282.0,MetroMart Wallet,2428.15,Outdoor,2667.2,1,1,0,4223.32,53.199682824243254,High,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00016,Prime,0.0,0.0,0.0,0.0,8444.45,0.0,8444.45,16.0,0.0,999.0,Other Bank Credit Card,6344.43,Large Appliances,6344.43,0,0,0,8444.45,57.70082051989244,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00017,Prime,0.0,0.0,0.0,0.0,7067.66,0.0,7067.66,20.0,0.0,999.0,MetroMart Wallet,5919.78,Electronics,5919.78,0,0,0,7067.66,53.50375784320486,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00018,Non-Prime,0.0,0.0,0.0,0.0,14558.08,0.0,14558.08,75.0,0.0,999.0,MetroMart Wallet,8157.16,Furniture,6525.44,0,0,1,14558.08,71.10597807350204,Critical,Wallet Migrators,Win Back,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-00019,Prime,64.62881300338934,0.0,-64.62881300338934,64.62881300338934,619.03,0.0,619.03,7.0,0.0,241.0,Other Bank Credit Card,619.03,Grocery,619.03,1,1,0,619.03,35.590222712542236,Medium,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00020,Prime,0.0,0.0,0.0,0.0,417.75,0.0,417.75,8.0,0.0,999.0,Debit Card,2188.69,Outdoor,2188.69,0,0,0,417.75,20.738123146935116,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00021,Prime,9.960636892357565,0.0,-9.960636892357565,9.960636892357565,1875.93,0.0,1875.93,9.0,0.0,278.0,MetroMart Wallet,1875.93,Grocery,1875.93,0,1,0,1875.93,38.6378680273047,Medium,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00022,Non-Prime,81.44846502795654,0.0,-81.44846502795654,81.44846502795654,14283.83,0.0,14283.83,60.0,0.0,353.0,Cash/UPI,9177.87,Electronics,9177.87,1,1,1,14283.83,87.07543266910294,Critical,Wallet Migrators,Win Back,High-Value Dormant,"High-priority reactivation campaign highlighting HSIC rewards versus non-reward payment methods, combined with a limited spend milestone."
HSIC-00023,Prime,18.221467936786013,10.276022717826567,-7.945445218959446,7.945445218959446,31999.54,3288.2799999999997,28711.26,152.0,2.0,72.0,MetroMart Wallet,19275.51,Travel,25536.06,0,0,1,28711.26,81.39971040474384,Critical,Active HSIC Growers,Grow,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-00024,Prime,14.485809525766015,3.9387827320870823,-10.547026793678937,10.547026793678937,22776.58,897.12,21879.46,208.0,1.0,101.0,MetroMart Wallet,14432.39,Electronics,14565.81,0,0,1,21879.46,81.25594704543887,Critical,Active HSIC Growers,Grow,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-00025,Non-Prime,0.0,100.0,100.0,-100.0,1099.5,1099.5,0.0,7.0,1.0,119.0,,,Beauty,1099.5,0,0,0,0.0,14.349444942425704,Low,HSIC-First Adopters,Protect,HSIC Champions,"Protect relationship with recognition, personalized reward reminders, and early access to MetroMart offers."
HSIC-00026,Non-Prime,0.0,0.0,0.0,0.0,6537.38,0.0,6537.38,3.0,0.0,999.0,Debit Card,6537.38,Large Appliances,6537.38,0,0,0,6537.38,51.57691512100945,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
