Month_Start,Total_Net_Sales,HSIC_Net_Sales,Non_HSIC_Net_Sales,Customers,HSIC_SoW
2024-08-01,22305468.94,7662233.13,14643235.81,6827,34.35136535623088
2024-09-01,22988280.98,7422401.0,15565879.98,7183,32.28776003937637
2024-10-01,23148416.0,7315369.99,15833046.01,7318,31.602032683359415
2024-11-01,24060810.83,7177393.47,16883417.36,7627,29.830222766437004
2024-12-01,25365498.12,7788680.1,17576818.02,7917,30.705803856691617
2025-01-01,23980301.46,6995945.31,16984356.15,7578,29.17371710972644
2025-02-01,22450776.95,6773144.47,15677632.48,7329,30.168864467739496
2025-03-01,25151559.66,6824908.59,18326651.07,8074,27.135130712605676
2025-04-01,26940759.44,7404505.7299999995,19536253.71,8485,27.484398672912835
2025-05-01,26796706.73,7258050.51,19538656.22,8577,27.085606388617588
2025-06-01,25934640.61,6517874.54,19416766.07,8333,25.131925435229697
2025-07-01,27221034.96,6531218.62,20689816.34,8648,23.99327810128201
2025-08-01,27034113.61,6328245.82,20705867.79,8655,23.408371775352617
2025-09-01,29228376.09,6810818.96,22417557.13,9211,23.30207788153584
2025-10-01,31460639.37,7312203.0,24148436.37,9817,23.242385235732733
2025-11-01,29669402.63,6117630.61,23551772.02,9584,20.619325189291825
2025-12-01,29366643.22,6260369.28,23106273.94,9328,21.317960085190833
2026-01-01,27745030.98,5533348.46,22211682.52,9173,19.943565620772645
2026-02-01,28712626.09,5675771.01,23036855.08,9235,19.76750922123682
2026-03-01,28633865.02,5431007.26,23202857.76,9376,18.96707711727559
2026-04-01,31389657.88,5324589.75,26065068.13,10238,16.96287920803551
2026-05-01,31631392.56,5124372.54,26507020.02,10372,16.200274870225314
2026-06-01,28752208.21,4582905.2,24169303.01,9567,15.939315570224858
2026-07-01,30180519.74,4421367.33,25759152.41,9896,14.649738864967606
