Fiscal_Year,Payment_Method,Net_Sales,Transaction_Count,Customers,Fiscal_Year_Total,Spend_Share
FY2025,Cash/UPI,55990673.31,244360,14856,296344254.68,18.893794101208456
FY2025,Debit Card,25943496.97,156207,11087,296344254.68,8.754513225847568
FY2025,HSIC Bank Credit Card,85671725.46,329356,17556,296344254.68,28.909528059692093
FY2025,MetroMart Wallet,101925229.4,348072,17865,296344254.68,34.39419789327835
FY2025,Other Bank Credit Card,26813129.54,134943,9885,296344254.68,9.04796671997353
FY2026,Cash/UPI,82777165.02,356635,19909,353804475.4,23.39630241432497
FY2026,Debit Card,37700403.83,222001,15009,353804475.4,10.65571705597481
FY2026,HSIC Bank Credit Card,68922629.22,265395,16767,353804475.4,19.48042888436566
FY2026,MetroMart Wallet,126242337.6,436795,21993,353804475.4,35.68138516542914
FY2026,Other Bank Credit Card,38161939.73,194462,13617,353804475.4,10.786166479905415
